minute,total_people,average_fixation
1,15,30.49913333
2,15,31.47493333
3,15,30.18306667
4,15,31.38073333
5,15,30.50706667
6,15,28.0266
7,15,26.75226667
8,15,29.33053333
9,15,29.18393333
10,15,29.48706667
11,14,31.13235714
12,14,28.96142857
13,14,27.27742857
14,13,30.92776923
15,13,31.14730769
16,13,28.41576923
17,12,28.62416667
18,10,31.6552
19,10,30.9306
20,9,33.91188889
21,9,30.31922222
22,8,19.066375
23,6,27.3675
24,6,27.14233333
25,5,29.0962
26,5,28.3522
27,4,34.935
28,4,22.82375
29,3,10.28366667
30,3,17.13
31,3,25.14633333
32,2,23.686
33,2,18.787
34,1,41.202
35,1,32.166
36,1,43.742
37,1,35.587
38,1,36.651
39,1,12.571
