minute,total_people,average_fixation
1,16,36.6631875
2,16,33.667875
3,16,33.9915625
4,16,33.121875
5,16,31.6130625
6,16,31.0049375
7,16,31.8151875
8,16,29.9456875
9,16,30.6076875
10,14,32.445
11,14,28.18392857
12,13,28.28476923
13,13,27.07653846
14,11,26.39472727
15,9,28.43366667
16,8,26.10125
17,6,32.0935
18,5,31.3282
19,5,23.8866
20,4,32.03225
21,4,32.401
22,4,31.92525
23,3,33.83666667
24,3,35.66
25,3,34.466
26,3,33.73033333
27,2,47.3315
28,2,46.6355
29,2,48.2425
30,2,47.8725
31,2,45.1115
32,2,45.583
33,2,46.6975
34,2,35.533
35,1,35.546
