scanpath,saccade_length,ID,Ontologies,Visualization,Task_Success,Time_On_Task
235300.47752104598,107.83706577499815,p36,2,1,0.52173913,15
524393.2280115472,147.38426869352085,p18,2,1,0.565217391,27
343056.2939600728,95.8525548924484,p14,2,1,0.21739130399999998,28
714182.6458946187,105.78916396009757,p6,2,1,0.739130435,43
596143.4939698905,117.07452748819532,p30,2,1,0.47826087,32
45009.892312584845,96.38092572287975,p20,2,1,0.434782609,23
128494.93601397327,113.61179134745647,p12,2,1,0.695652174,11
209846.5179326014,121.01875313298811,p32,2,1,0.347826087,12
121734.70408226295,206.6803125335534,p4,2,1,0.52173913,9
594968.6631801666,120.75678164809553,p10,2,1,0.47826087,29
324201.0007217251,125.65930260531981,p2,2,1,0.39130434799999997,25
985287.8258498942,142.77464510214378,p34,2,1,0.565217391,49
223016.46612828696,120.6799059135752,p28,2,1,0.52173913,13
508050.9618679938,132.92803816535684,p16,2,1,0.47826087,29
279982.2687684589,152.74537303243804,p24,2,1,0.739130435,25
