scanpath,saccade_length,ID,Ontologies,Visualization,Task_Success,Time_On_Task
186921.16248532617,162.39892483520953,p11,1,1,0.47826087,15
248624.04036692056,136.38181040423507,p23,1,1,0.565217391,13
308060.1424401554,126.04752145669205,p5,1,1,0.52173913,22
350796.15589782305,123.17280754839292,p33,1,1,0.47826087,22
875934.649058074,182.9819613657978,p25,1,1,0.565217391,34
174723.6423298549,129.80954110687586,p17,1,1,0.434782609,14
123873.3227317947,121.8026772190705,p35,1,1,0.608695652,9
211030.46724596963,135.01629382339706,p3,1,1,0.47826087,10
257950.25147734422,159.91956074230887,p27,1,1,0.260869565,13
136636.4573895667,135.82152822024523,p15,1,1,0.52173913,9
425894.3592461465,160.95780772719067,p1,1,1,0.608695652,26
225869.1223992228,122.35597096382601,p19,1,1,0.565217391,14
936609.9482846955,170.6029049698899,p13,1,1,0.434782609,35
323198.0951371712,142.94475680547157,p21,1,1,0.434782609,16
87992.1536024289,215.13973985923934,p31,1,1,0.39130434799999997,14
329796.11874189554,121.69598477560722,p7,1,1,0.565217391,16
